Authors,Title,Discipline,Source title
"Paasikivi S., Salmi H., Vesanto A., Ginter F.","Infectious Media: Cholera and the Circulation of Texts in the Finnish Press, 1860–1920",,Media History
"Damjanović D., Miklošević Ž., Počanić P.",Representing the capital of a nation: Zagreb City Museum between Austria-Hungary and Yugoslavia (1907-1925),,Museum History Journal
"Paixão Pequeno D., Pequeno Galvão L., Lourenço G.J.",Addressing psychiatric disorders and genetics: the meaningful use of comics for health information,,Journal of Visual Communication in Medicine
"Jenkins S., Young-Jahangeer M.","Please do not touch! learning through object-work and arts-based expression in museum theatre, a South African example",,Research in Drama Education
"Goetz C.G., Drouin E.",Two faces of the teacher: Comparing editions of Charcot’s Leçons du mardi,,Journal of the History of the Neurosciences
Miskovics P.,The City and Syntax of the Movement. An Outline of Flaneurship as a Factor in Textual Composition in Contemporary Slovak Literature [Mesto a syntax pohybu Náčrt k flánerstvu ako faktoru výstavby textu v súčasnej slovenskej literatúre],,Slovenska Literatura
Policar A.,Karl Heinrich Heydenreich's Notion of the Sublime and Its Parallel in Kant's Notion of Respect [Teze o apriorním zdroji pocitu vznešena u Karla Heinricha Heydenreicha a její předobraz v Kantově pojetí úcty],,Filosoficky Casopis
Mlynář J.,How is Oral History Possible? On Linguistically Universal and Topically Specific Knowledge,,Oral History Review
Nguyễn P.,Reeducation Camps & States of Suspension,,Amerasia Journal
Pech R.,What is a Book? Kant on the Issue of Copyright and Publishing Law [Co je kniha? Kant k otázce autorských a nakladatelských práv],,Filosoficky Casopis
Andrade D.,Neoliberal extractivism: Brazil in the twenty-first century,,Journal of Peasant Studies
Moravec L.,Dressage Performances as Infrastructural Critique: Mike Kelley and Yvonne Rainer’s Dancing Horses,,Dance Chronicle
"Jeffreys-Jones R., Hughes R.G.",Timely memoirs and the ‘British invasion’: two trends in the historiography of the CIA,,Journal of Intelligence History
Tamimi Arab P.,"Can Muslims Drink? Rumi Vodka, Persianate Ideals, and the Anthropology of Islam",,Comparative Studies in Society and History
Firat A.,Recalibrating the historical imaginary: Haydar Haydar’s literary collage,,Contemporary Levant
Inayatullah S.,Morbid Symptoms: Power and Medicine During Transitional Eras,,World Futures
Gibson D.R.,Minutes of History: Talk and Its Written Incarnations,,Social Science History
"da Silva C.F., Mazo J.Z., de Borba B.L., Ginciene G.",Willy Richard Frantz Seewald (1900–1929): The Brazilian Sportsman in the 1924 Olympic Games,,International Journal of the History of Sport
"Seiler S., Chepyator-Thomson J.R.",The (Not So) United Soccer of Atlanta: An Early History of Class Distinction and Racial Separatism in Organized Youth Soccer,,International Journal of the History of Sport
Cameron L.J.,"Reply to my commentators – Thinking with Forrester: dreams, true crimes, and histories of change",,History of the Human Sciences
von Lengeling V.H.C.,The distribution of fake British pounds in the biggest money counterfeiting scheme in history,,Journal of Intelligence History
Kanjilal A.,Narrating Legal Reform: The Open Letter and the Anti-rape Movement in Perspective,,Indian Journal of Gender Studies
Jorge T.M.,POLITICAL AND PERSONAL: PILAR TÁVORA AND CINEMA OF ROMANI REEXSISTENTIA [POLÍTICO Y PERSONAL: PILAR TÁVORA Y EL CINE DE LA REEXSISTENTIA GITANA],,Atalante
Samuelsson L.,"From nutrition to glamour: The Australian Women’s Weekly’s cookery editors, 1933–1970",,History Australia
Anisimova I.,Embodying the spirit of the time: traumatic history in Vladimir Sharov’s fiction,,Canadian Slavonic Papers
Nikitina T.,Building semantic maps for closely related languages: Words for 'grain' and their kin in South Mande,,Zeitschrift fur Sprachwissenschaft
"Carlos A.M., Feir D.L., Redish A.","Indigenous Nations and the Development of the U.S. Economy: Land, Resources, and Dispossession",,Journal of Economic History
Usherwood R.,Epilogue,,New Approaches to Byzantine History and Culture
Emmett K.,"Resisting Marriage, Reclaiming Right: An (Early) Modern Critique of Marriage",,Journal of the American Philosophical Association
Korchevoi S.,Measurements of spirituality in the context of 12-step treatment: problem with theological analysis,,Journal of Spirituality in Mental Health
"Hallam Smith E., Crook J.",WESTMINSTER HALL'S LOST STUART DOOR PASSAGE REDISCOVERED,,Antiquaries Journal
Rišková L.,Late 18th and Early 19th Century Occasional Poetry From the Perspective of Contemporary Editorial Strategies [Príležitostná poézia z prelomu 18. a 19. storočia a editorské riešenia jej aktuálneho sprístupňovania],,Slovenska Literatura
Varea C.B.,"THE CONSTRUCTION OF THE HOUSES OF KINGDOM OF ARAGON (SARAGOSSA, 1443-1450) [LA CONSTRUCCIÓN DEL PALACIO DE LA DIPUTACIÓN DEL REINO DE ARAGÓN (ZARAGOZA, 1443-1450)]",,Archivo Espanol de Arte
Michelson-Ambelang T.,Our Libraries Are Colonial Archives: South Asian Collections in Western and Global North Libraries,,South Asia: Journal of South Asia Studies
"Broadman E., Kaufman D.S., Anderson R.S., Bogle S., Ford M., Fortin D., Henderson A.C.G., Lacey J.H., Leng M.J., McKay N.P., Muñoz S.E.",Reconstructing postglacial hydrologic and environmental change in the eastern Kenai Peninsula lowlands using proxy data and mass balance modeling,,Quaternary Research (United States)
"Hammer E., Fitzpatrick M., Ur J.",Succeeding CORONA: Declassified HEXAGON intelligence imagery for archaeological and historical research,,Antiquity
Luis A.,Keeping Ourselves Collected: Culture Labs Confront the Smithsonian’s Imperial Legacy,,Journal of Museum Education
Zock H.,"Erik H. Erikson, Young Man Luther: A Study in Psychoanalysis and History (1958): A Psychosocial Interpretation of Luther and its Relevance for Understanding Religious Identity Formation Today",,NTT Journal for Theology and the Study of Religion
"Sycheva S.A., Pogosyan L., Sedov S., Solleiro-Rebolledo E., Golyeva A.A., Barceinas-Cruz H., Abrosimov K.N., Romanenko K.A.",Evidence for stages of landscape evolution in Central Mexico during the late Quaternary from paleosol-pedosediment sequences,,Quaternary Research (United States)
Jakobsh D.,"Sikh women’s internet sites: development, content, mission",,Journal of Contemporary Religion
Coffey J.,Responses to Religious Dissenters and Refugees: Lessons from Early Modern History,,Review of Faith and International Affairs
Vera A.,"Fruit Growing in the Alto Valle (High Valley) in Rio Negro: Origin, Boom and Bust, 1930-1965 [La fruticultura en el Alto Valle de Río Negro: origen, auge y deterioro, 1930-1965]",,America Latina en la Historia Economica
"Rusakov V., Kuz'Mina T., Borisov A., Gromyak I., Dogadkin D., Romashova T., Solovi'Eva G., Lukmanov R.",A drastic change in glacial dynamics at the beginning of the seventeenth century on Novaya Zemlya coincides in time with the strongest volcanic eruption in Peru and the Great Famine in Russia,,Quaternary Research (United States)
[No author name available],"Correction to: Phillipson’s Hume in Phillipson's Scottish Enlightenment (History of European Ideas, (2022), 48, 2, (145-159), 10.1080/01916599.2021.1950310)",,History of European Ideas
Drexel B.,Hindu Nuclear Politics and the Logic of Realism,,Review of Faith and International Affairs
"Hansson K., Dahlgren A.N., Pargman T.C.",Datafication and Cultural Heritage: Critical Perspectives on Exhibition and Collection Practices,,Information and Culture
Meer R.,Between Old and New Teleology. Kant on Maupertuis' Principle of Least Action,,Open Philosophy
[No author name available],"Erratum: The Death of Molly Schultz: Race, Magic, and the Law in the Post-slavery Caribbean (Journal of Social History DOI: 10.1093/jsh/shab005)",,Journal of Social History
"Ben Amor L., Lachal J., Menard M.-L., Pelletier W., Mac Dermott V., Ben Amor R., Sanchez I., Lapointe L., Bouchard P., Rousseau B., Ricard N.",A French community-based intervention for parents of French-Canadian children with behavior problems: The EQUIPE program [Une intervention communautaire en français pour les parents d'enfants canadiens francophones ayant des troubles du comportement : le programme EQUIPE],,Encephale
Abd elmajid M.I.,The Political Discourse of the Kharijites during the First Century AH. A Historical Study [الخطاب السياسي عند الخوارج خلال القرن الأول الهجري: د ا رسة تاريخيّة],,Jordan Journal for History and Archaeology
Tomi A.,The History of Things in Ralf Andtbacka's Wunderkammer,,Scandinavian Studies
Danilchenko A.,History of the Study of the Middle Palaeolithic of the North-Eastern Azov Sea Region and the Lower Reaches of the Seversky Donets [Istoricul cercetării paleoliticului mijlociu în Pre-Azovul Nord-Estic și cursul inferior al r. Severskiy Doneţ] [История изучения среднего палеолита Северо-Восточного Приазовья и нижнего течения р. Северский Донец],,Stratum Plus
Oommen T.,The Glazed Eyes of Architectural History: Reflections on the (Dis)Contents of Global History Survey Courses,,Architectural Histories
"Koliasnikova A., Chistyakov P., Kolobova K.",Principal Approaches to the Study of Middle Palaeolithic Bone Retouchers [Principalele abordări în studierea retușoarelor de os paleolitice mijlocii] [Основные подходы к изучению среднепалеолитических костяных ретушеров],,Stratum Plus
"Khlopachev G., Kulkova M., Gribchenko Y.",The characteristics of settlement structure formation on the Upper Paleolithic site of Yudinovo according to archaeological and geochemical investigations of 2015-2018 [Particularităţile formării structurii de așezare a staţiunii paleoliticului superior Iudinovo în baza materialelor cercetărilor arheologice și geochimice din anii 2015-2018] [Особенности формирования поселенческой структуры верхнепалеолитической стоянки Юдиново по материалам археологических и геохимических исследований 2015-2018 гг],,Stratum Plus
Hamzin I.R.,The Russian Commercial Fleet in the Treaty Ports of China in the Second Half of the 19th Century,,RUDN Journal of Russian History
"González-García A.C., García Quintela M.V., Rodríguez-Antón A., Espinosa-Espinosa D.",The Winter Solstice as a Roman Cultural Fingerprint from the Mythical Origins of Rome to Augustus,,Environmental Archaeology
[No author name available],"Corrigendum to Social Cohesion and Resilience in First Australian Family and Kinship Networks(Journal of Family History, (2017), 42, (4), (440-451), 10.1177/0363199017725347)",,Journal of Family History
"Schopf F., Nicholls A., Howe S.",Civilized Competition: The Beginnings of the English Goethe Society and its Early Relations with the Goethe-Gesellschaft in Weimar,,Publications of the English Goethe Society
Datsyshen V.G.,The Chinese Population of Transbaikalia under the Conditions of the Stalinist System in the 1930s,,RUDN Journal of Russian History
Witelson D.M.,The Many Meanings of “Integration”: Some Thoughts on Relating Rock Art and Excavated Archaeology in South Africa,,African Archaeological Review
Stockhorst S.,Goethe and the Aesthetics of Equestrian Art,,Publications of the English Goethe Society
"Pykett J., Paterson M.",Stressing the ‘body electric’: History and psychology of the techno-ecologies of work stress,,History of the Human Sciences
"Beigné M., Lamer A., Eck M., Horn M., Benbouriche M., Thomas P., Amad A., Fovet T.",A descriptive study of psychiatric care and pre-sentencing psychiatric reports in a French high-security prison [Parcours de soins et expertises psychiatriques pré-sentencielles: une étude descriptive au centre pénitentiaire de Château-Thierry],,Encephale
Fuller S.,Eurasianism as the deep history of Russia’s discontent,,Educational Philosophy and Theory
Zecchini L.,Archives of Minority: ‘Little’ Publications and the Politics of Friendship in Post-Colonial Bombay,,South Asia: Journal of South Asia Studies
Schweitzer M.G.,"Issues around gender, filiation and transidentity [Questions autour du genre, de la filiation et de la transidentité]",,Annales Medico-Psychologiques
"Morozova O.M., Troshina T.I.",The State of Military Medicine during the Russian Civil War,,RUDN Journal of Russian History
"Vacheron M.-N., Dugravier R., Tessier V., Deneux-tharaux C.",Perinatal maternal suicide: How to prevent? [Suicide maternel périnatal: comment prévenir ?],,Encephale
Baikalov N.S.,At the BAM We Had Everything! Consumption Good Supplies for Workers of the All-Union Komsomol Сonstruction Project,,RUDN Journal of Russian History
Sandal-Wilson C.,"The Colonial Clinic in Conflict: Towards a Medical History of the Palestinian Great Revolt, 1936–1939",,"Culture, Medicine and Psychiatry"
Komleva E.V.,The Port‐Franco of Odessa of the North: Alexander Den’gin’s Development Project of the Mouth of the Pechora River in the 1820s to 1840s,,RUDN Journal of Russian History
"Bondareva V.V., Eilbart N.V.",The Sanitary Service of the 431st Tikhvin Infantry Regiment during World War I,,RUDN Journal of Russian History
"Mitter A., Loew P.O.","Exhibiting city, region and Germanness: Erich Keyser and the State Regional Museum of Danzig History (1927–1939)",,Museum History Journal
Pence C.H.,Testing and discovery: Responding to challenges to digital philosophy of science,,Metaphilosophy
Raudsepp A.,Bishop Platon's role in leading the spiritual resistance of orthodox Estonians during the German occupation in 1918 [Piiskop Platoni roll õigeusuliste eestlaste vaimse vastupanu juhtimisel 1918. Aasta Saksa okupatsiooni ajal],,Ajalooline Ajakiri
"Conway M.A., Howe M.L.",Memory construction: a brief and selective history,,Memory
Brady S.,‘A small leap for disabled man’: the athlete-led evolution of the sports wheelchair and adaptive sports,,Sport in History
"Bagdasaryan Vardan E., Resnianskiy Sergey I., Baldin Pavel P.",F.M. DOSTOEVSKY AS AN IDEOLOGIST AND SOCIAL PROPHET IN THE PROJECTION OF THE HISTORY OF THE 20TH-21ST CENTURIES (TO THE 200TH ANNIVERSARY OF THE BIRTH OF THE WRITER),,Voprosy Istorii
Malusa L.,The Italian Historiography of Philosophy: Eclecticism and the Philosophy of Experience,,International Archives of the History of Ideas/Archives Internationales d'Histoire des Idees
Saar T.,Conditions for opening steamship routes in Russia's Baltic provinces and Finland 1837-70 [Laevaliinide avamise tingimused Balti kubermangudes ja Soomes 1837-70],,Ajalooline Ajakiri
McGill M.,Bodies of earth and air: corporeality and spirituality in pre-modern British narratives of the undead,,Journal of Medieval History
Gal N.,When Seeing Expires: Art History and the Work of Alison Rossiter,,Art Journal
Piaia G.,Historicism and Eclecticism: The Age of Victor Cousin,,International Archives of the History of Ideas/Archives Internationales d'Histoire des Idees
Steindler L.,The History of Philosophy as an ‘Organism’: The School of Schelling,,International Archives of the History of Ideas/Archives Internationales d'Histoire des Idees
Massot A.,"Psychoanalysis, thermodynamics, and the matter of scarcity: A genealogy of Freud’s death drive hypothesis",,Theory and Psychology
Amit V.,"Work, mobilities and the life course: choices and logistical entanglements in mobile life-careers",,Journal of Ethnic and Migration Studies
Mackinnon K.,The death of GeoCities: seeking destruction and platform eulogies in Web archives,,Internet Histories
Lindner T.K.,Standing with Sacco and Sandino. Anti-imperialist solidarity campaigns in 1920s Mexico City,,Journal of Iberian and Latin American Studies
Kim V.H.,"Subimperialism and Perpetual Necropower: Foundational Violence and Mnemonic Self-killing on Jeju Island, 1947–Present",,Journal of Genocide Research
"Snow S.J., Whitecross A.F.",Making history together: the UK’s National Health Service and the story of our lives since 1948,,Contemporary British History
"Xiang L.I., Youjin W., Longjiang M., Xiaotong W., Yanbo S.",Determination of the thermal temperatures of burnt clay at Sujiacun site based on magnetic susceptibility,,Sciences of Conservation and Archaeology
Malusa L.,Galluppi and Rosmini: The History of Philosophy as a Necessary “Complement”,,International Archives of the History of Ideas/Archives Internationales d'Histoire des Idees
Pinto de Brito R.,Apraxia and the Development of Ancient Skepticisms,,Synthese Library
"Pikirayi I., Shenjere-Nyabezi P., Sagiya M.E.","Landscape, history and power: The Zimbabwe Culture and the Nambya state, north-western Zimbabwe",,Journal of Community Archaeology and Heritage
"Gutiérrez O.V., Vera M.J.V., Marchant A.U.","History, Education and Multiculturality: Tensions and Challenges for the Complex Society [Historia, educación y multiculturalidad: tensiones y desafíos para la sociedad compleja]",,Revista de Filosofia (Venzuela)
Rongqian M.A.,Curating China's Cultural Revolution (1966-1976): CR/10 as a Warburgian Memory Atlas and Digital Humanities Interface,,Information and Culture
Piaia G.,The History of Philosophy as a “Nomenclature of Systems”: Joseph-Marie Degérando,,International Archives of the History of Ideas/Archives Internationales d'Histoire des Idees
Nebreda S.R.,Violence in the Bible and the Apocalypse of John: A critical reading of J.D. Crossan’s How to Read the Bible and Still Be a Christian,,HTS Teologiese Studies / Theological Studies
"Nicoliello M., Aliabadi F.J.",Accounting and work in the charities: The case of an Italian institution in the nineteenth century,,Accounting History
"Inostroza Ruiz L.A., Tapia Manrique E.R., Bautista Cruz N.",Bioethics and Pharmacology: Moral Dilemmas of Scientific Research on Humans [Bioética y farmacología: Dilemas morales de la investigación científica en seres humanos],,Revista de Filosofia (Venzuela)
"Gatt F., Gay C.","‘Re-Living the Early Days’: memory, childhood and self-indigenization, North Melbourne, 1934–1935",,Postcolonial Studies
"Petrunina Z.V., Shusharina G.A.",The Activities of Foreign Entrepreneurs in the Amur Region as Reflected in the Regional Press of the 1860s,,RUDN Journal of Russian History
Santinello G.,The History of Philosophy and Dialectic: Hegel,,International Archives of the History of Ideas/Archives Internationales d'Histoire des Idees
"Singer A., Martin C.",Studying Turkey through a Graphic Lens,,Review of Middle East Studies
Lobue A.,"'They must either be informed or they will be cominformed': Covert propaganda, political literacy, and cold war knowledge production in the Loyal African Brothers series",,Journal of Global History
Balachandran A.,"Documents, Digitisation and History",,South Asia: Journal of South Asia Studies
Ceva M.,"The Italian musical market in Argentina, 1895-1914 [El mercado musical italiano en Argentina, 1895-1914]",,America Latina en la Historia Economica
Reyes J.M.,Pedagogy in Don Bosco and Freire. An Analysis of the Preventive System and Liberating Education [Pedagogía en Don Bosco y Freire. Un análisis sobre el Sistema Preventivo y la educación liberadora],,Revista de Filosofia (Venzuela)
Yaacob A.R.,"Singapore’s Threat Perception: The Barter Trade Crisis and Malaysia’s Decision to Use Military Force against Singapore, October–December 1965",,Australian Journal of Politics and History
Gürçağlar Ş.T.,TRANSLATION HISTORIOGRAPHY1,,Slovo.ru: Baltic Accent
Halikowski-Smith S.,Twentieth-Century Wartime Life Histories from East-Central Europe,,European Legacy
Šepetavc J.,More than Comrades: queering Slovenian cinema in Yugoslavia,,Studies in Eastern European Cinema
Longo M.,Hermeneutics and the History of Philosophy,,International Archives of the History of Ideas/Archives Internationales d'Histoire des Idees
Micheli G.,The British Historiography of Philosophy in the Nineteenth-Century,,International Archives of the History of Ideas/Archives Internationales d'Histoire des Idees
"Pfeiffer R.M., Walz R.",Solve et Coagula,,Religious Studies Review
Carr R.,Indigenous Secularism and the Secular-Colonial,,Critical Research on Religion
Nichols B.,Library fever: lesbian memoir and the sexual politics of order,,Textual Practice
Krieger G.J.,Water Wars of the Future: Myth or Reality?,,Parameters
Paterson P.,Civil-Military Relations: Guidelines in Politically Charged Societies,,Parameters
"Pensabene P., Gasparini E.",Colonnaded Hall in Kourion How the Oecus Corinthius Was Interpreted in the Roman Houses of Cyprus,,Etudes et Travaux
"Sinha N., Jha P.",Introduction,,South Asian History and Culture
Feagin S.L.,Nonfiction Theater,,Journal of Aesthetics and Art Criticism
"Hein-Kircher H., Vahtikari T.","City museums in the emerging cities of Eastern Europe, 1880–1939: Introduction",,Museum History Journal
Friedman Y.,The Alawi legacy of heroes: from medieval history to the Syrian Civil War,,Middle Eastern Studies
Delaney C.,"‘Staying on in national schools’: a history of Ireland’s secondary tops, 1880-1980",,History of Education
Mroczek D.,Ancient Portrait Busts of Marcus Aurelius in the National Museum in Poznań,,Etudes et Travaux
"Jalilian S., Daryaee T.",The Image of the Sasanian King in the Perso-Arabic Historical Tradition,,Iran
"Fitzpatrick M., Gill R., Giles J.F.",Information Warfare: Lessons in Inoculation to Disinformation,,Parameters
Tafuro A.,"‘The Italian Maccabees’. Gender, the sacred and anticlericalism in the cult of the Cairoli family (1859–1871)",,Journal of Modern Italian Studies
Dhont M.,The Use of Greek in Palestine: Eupolemus as a Case Study,,Palestine Exploration Quarterly
Cook R.C.,Heterospecific Song and Ecological Politics: Whale Song and Crumb's Vox Balaenae,,Contemporary Music Review
Skvortsov L.V.,Reflections on the Phenomenon of “Moral Outburst” in the 21st Century,,Voprosy Filosofii
Nahum C.E.,Teaching physics to adolescents in France during the second half of the eighteenth century,,History of Education
Bullinger J.M.,"Marvel tells / sells its own history: figureheads, promotion, curation, and application, 1982-1987",,Journal of Graphic Novels and Comics
"Yijing W., Yangyang H., Xiaocui H., Chen L., Haili Q.","Isolation, identification and fungicide screening of mold strains from silk relics",,Sciences of Conservation and Archaeology
Taylor J.,"New Horizons and new Challenges: Developments in the Modern Languages in the University of Leeds, 1914–18",,Northern History
"Riabkov A.M., Kleitman A.L.",THE DESIGN ENGINEER’S M.I. KOSHKIN MEMORANDUM ON THE PROGRESS OF WORK OF NEW ARTILLERY SYSTEMS CREATION IN THE KIROV’S PLANT DESIGN BUREAU (From the Funds of the Central State Archive of Historical and Political Documents of Saint Petersburg) [СЛУЖЕБНАЯ ЗАПИСКА ИНЖЕНЕРА-КОНСТРУКТОРА М.И. КОШКИНА О ХОДЕ РАБОТ ПО СОЗДАНИЮ НОВЫХ АРТИЛЛЕРИЙСКИХ СИСТЕМ В КОНСТРУКТОРСКОМ БЮРО КИРОВСКОГО ЗАВОДА (из фондов Центрального государственного архива историко-политических документов Санкт-Петербурга)],,"Vestnik Volgogradskogo Gosudarstvennogo Universiteta, Seriia 4: Istoriia, Regionovedenie, Mezhdunarodnye Otnosheniia"
Łupienko A.,A museum or a sanctuary of memory? The impact of a non-existent city museum in Russian Warsaw (1905–1915),,Museum History Journal
Crockett J.,Vocal Traditions: A Voice Pedagogy Based in Middendorf Breathwork,,Voice and Speech Review
"Ndago A., Irikidzayi M., Makombe R.",Nationhood and Ethnic Ideology: Examining Selected Cartoon Paratexts in Kwani?,,African Studies
"Vashkau N.E., Legkiy D.M., Berkimbayeva A.M.",“DO NOT COUNT GERMAN RESETTLERS AMONG THE EVACUATED POPULATION”. THE POSITION OF THE GERMAN INTELLIGENTSIA DURING THE GREAT PATRIOTIC WAR (ON THE EXAMPLE OF KUSTANAY REGION OF THE KAZAKH SSR) [«НЕМЦЕВ-ПЕРЕСЕЛЕНЦЕВ К ЭВАКУИРОВАННОМУ НАСЕЛЕНИЮ НЕ ПРИЧИСЛЯТЬ». ПОЛОЖЕНИЕ НЕМЕЦКОЙ ИНТЕЛЛИГЕНЦИИ В ГОДЫ ВЕЛИКОЙ ОТЕЧЕСТВЕННОЙ ВОЙНЫ (НА ПРИМЕРЕ КУСТАНАЙСКОЙ ОБЛАСТИ КАЗАХСТАНА)],,"Vestnik Volgogradskogo Gosudarstvennogo Universiteta, Seriia 4: Istoriia, Regionovedenie, Mezhdunarodnye Otnosheniia"
"Kirisci M., Albayrak C., Haskologlu I.",State capacity and termination of terror campaigns: a qualitative evidence from PKK,,British Journal of Middle Eastern Studies
Delap L.,Rethinking rapes: men’s sex lives and feminist critiques,,Contemporary British History
Aytekin E.A.,Beyond conflict and coexistence: cosmopolitanism and inter-communal relations in late Ottoman cities,,Journal of Southeast European and Black Sea
Saramo S.,Capitalism as Death: Loss of Life and the Finnish Migrant Left in the Early Twentieth Century,,Journal of Social History
[No author name available],"Correction to: A History of Depressed Skull Fractures from Ancient Times to 1800 (Journal of the History of the Neurosciences, (2014), 23, 3, (233-251), 10.1080/0964704X.2013.823267)",,Journal of the History of the Neurosciences
"Peng T., Xiaolin S., Ruosu W.",Research on the secondary shedding of pigment in the restoration of ancient paintings and calligraphy and its prevention,,Sciences of Conservation and Archaeology
Camfferman K.,On Edwards’ A history of corporate financial reporting in Britain,,Accounting History
Dubrovskaya E.Yu.,POLITICAL VIEWS AND POSITIONS OF THE RUSSIAN SERVICEMEN IN FINLAND AT THE FINAL STAGE OF THE FIRST WORLD WAR (SPRING - SUMMER 1917) [ПОЛИТИЧЕСКИЕ ВЗГЛЯДЫ И ПОЗИЦИИ РОССИЙСКИХ ВОЕННЫХ В ФИНЛЯНДИИ НА ЗАКЛЮЧИТЕЛЬНОМ ЭТАПЕ ПЕРВОЙ МИРОВОЙ ВОЙНЫ (ВЕСНА - ЛЕТО 1917 г)],,"Vestnik Volgogradskogo Gosudarstvennogo Universiteta, Seriia 4: Istoriia, Regionovedenie, Mezhdunarodnye Otnosheniia"
Du C.,Jeep Girls and American GIs: Gendered Nationalism in Post-World War II China,,Journal of Asian Studies
"Fond G., El-Maamar M., Korchia T., Richieri R., Lacoste J., Boyer L., Lancon C.",ADHD and addictive behavior in crack-cocaine users [TDAH et comportement addictif chez les consommateurs de crack],,Encephale
K Cohen J.,Development of a futuristic technology programme: How the aerospace industry (almost) transformed ground transportation in the United States (1960–1972),,Journal of Transport History
Frohlich X.,"Making Food Standard: The U.S. Food and Drug Administration's Food Standards of Identity, 1930s-1960s",,Business History Review
Wright C.N.,Lest history repeat itself: enduring instructional communication questions for online and face-to-face formats in the post-2020 era of education,,Communication Education
Rivett S.,Raven's Land: American Literary History in Medias Res,,American Literary History
"Moloney A., Lephoto W., de Greef E.","Confronting the Absence of Histories, Presence of Traumas and Beauty in Museum Africa, Johannesburg",,Fashion Theory - Journal of Dress Body and Culture
"Asım Karaömerlioğlu M., Kirişçioğlu İ.",Political travelers in a polarized country: the Freedom Party experience in Turkish history,,Middle Eastern Studies
Lloyd S.A.,Hobbes's Theory of Responsibility as Support for Sommerville's Argument against Hobbes's Approval of Independency,,Hobbes Studies
O’Connell M.J.,Natural Practices: The Creative Autonomy Encoded within First Nations Dye and Weaving Processes of the Chilkat Blanket,,Textile: The Journal of Cloth and Culture
Arac J.,"""the Critic's Duty Is to Refuse""",,American Literary History
Borland J.,In memory of future earthquakes: Controversial new form and function of a commemorative statue in 1920s Tokyo,,Journal of Material Culture
Brickhouse A.,Elsewhere Catastrophe,,American Literary History
"Martín L.M., Castro G.A.",Letters for History in a world 2.0: The construction and study of a Spanish-Portuguese digital epistolary corpus from the Modern Age [Cartas para a história no mundo 2.0: A construção e o estudo de um corpus epistolar digital luso-hispânico da Idade Moderna] [Cartas para la Historia en el mundo 2.0: La construcción y estudio de un corpus epistolar digital hispano-luso de la Edad Moderna],,Historia Critica
Constantinesco T.,American Literary Criticism in a Time of Pandemic,,American Literary History
Kripal J.J.,"The World Is One, and the Human Is Two: Tentative Conclusions of a Working Historian of Religions",,Mind and Matter
Nyquist M.,Hobbes Reenvisions Hebraic and Christian History,,Hobbes Studies
Shen A.,Kazuo Ishiguro’s Development of Stories through Film,,Critique - Studies in Contemporary Fiction
Goyal Y.,Standing at the Border,,American Literary History
Ardila J.R.,"From the public repository to the university classroom: Students of the National University at the National Library, United States of Colombia, 1870-1874 [Do repositório público à sala de aula universitária: Alunos da Universidad Nacional na Biblioteca Nacional, Estados Unidos da Colômbia, 1870-1874] [Del repositorio público al aula universitaria: Estudiantes de la Universidad Nacional en la Biblioteca Nacional, Estados Unidos de Colombia, 1870-1874]",,Historia Critica
Horton L.,Lexical overlap in young sign languages from Guatemala,,Glossa
"Moll Bagur S., Comas Rubí F.","Corporate History or the Education Business. A Case-Study: Sant Francesc De Sales School, Menorca (1939-1945)",,Paedagogica Historica
Sundquist J.D.,An exemplar-based approach to composite predicates in the history of American English,,English Language and Linguistics
"Weimer A., Koniakowsky I., Nazir T.A., Huckauf A.",Behavioral evidence for differences in emotional resonance during processing first and second language,,International Journal of Bilingualism
"Glaurdić J., Mochtak M.","Prewar Public Discourse: Letters to Politika, Belgrade, 1988–1991",,Europe - Asia Studies
Calcagno A.,People and the State Community: Two Conflicting Forms of Sociality in Edith Stein’s Conception of A Priori Law,,Women in the History of Philosophy and Sciences
Tomc S.,The Garb of White Nationalism in the Nineteenth-Century United States,,Dress
Allen C.,Who's Silenced? Who's Not?,,American Literary History
Sierra J.R.,Chronicle of an announced death: Eta’s discourse in the face of the 11-M attacks (2004) and political negotiation with the Spanish Socialist Workers Party (2005-2006) [Crônica de uma morte anunciada: O discurso do eta ante os atentados do 11-M (2004) e a negociação política com o Partido Socialista Operário Espanhol (2005-2006)] [Crónica de una muerte anunciada: El discurso de eta frente a los atentados del 11-M (2004) y la negociación política con el Partido Socialista Obrero Español (2005-2006)],,Historia Critica
Lovestone L.R.,The Empathetic Gaze: A Steinian Approach to the Study of Religion,,Women in the History of Philosophy and Sciences
Tullius W.E.,"Person in Community, Repentance, and Historical Meaning: From an Individual to a Social Ethics in Stein’s Early Phenomenological Treatises",,Women in the History of Philosophy and Sciences
Shelleg A.,The music histories signaled by (and in) Mordecai Seter’s notebooks,,Journal of Modern Jewish Studies
González E.C.,"From productive and motivated work to the psychological imperative of rest: Medellín, 1928-1975 [Do trabalho produtivo e motivado ao imperativo psicológico do descanso: Medellín, 1928-1975] [Del trabajo productivo y motivado al imperativo psicológico del descanso: Medellín, 1928-1975]",,Historia Critica
Featherstone M.,"Viral Law: Life, Death, Difference, and Indifference from the Spanish Flu to Covid-19",,International Journal for the Semiotics of Law
"Piorko M., Hendriksen M., Werrett S.",Alchemical Practice: Looking Towards the Chemical Humanities,,Ambix
