Authors,Title,Discipline,Source title
Battezzato L.,THE GETTY HEXAMETERS and GREEK TRAGEDY,,Cambridge Classical Journal
Mirhaji H.R.,Wisdom in Syntax and Syntax of Wisdom An Inquiry into the Position of Wisdom in Arabic Grammar,,Language Related Research
"Hesar R.V., Dehghan M.",Ezafe Construction in Kurdish: A Cognitive Approach,,Language Related Research
Kashani N.A.,Plurilingual Writers and the Third Language: From Migrant to Nomadic Literature,,Language Related Research
Gandomkar R.,Semantic Behaviors of ‘vα’ in Spoken Persian,,Language Related Research
"Pekarek Doehler S., Skogmyr Marian K.",Functional Diversification and Progressive Routinization of a Multiword Expression in and for Social Interaction: A Longitudinal L2 Study,,Modern Language Journal
"Symons C., Bian Y.",Exploring a linguistic orientation to facilitating refugee-background youth's meaning-making with texts: A self-study,,Linguistics and Education
"Mikhaylova O., Naumova J.",Measuring judiciarization of people with mental illnesses,,"Crime, Law and Social Change"
Mela F.,"Analysis of the Translation of (Hebrew language) in Ex 1:15-22 in Ancient and Modern Versions. Linguistic Approach, Reception and Translation [Análisis de la traducción de (Hebrew language) en Ex 1,15-22 en versiones antiguas y modernas. Aproximación lingüística, recepción y traducción]",,Theologica Xaveriana
Hall J.K.,L2 Classroom Input and L2 Positionally Sensitive Grammars: The Role of Information-Seeking Question Sequences,,Modern Language Journal
"Rizkallah S., Atiya A.F., Shaheen S., Mahgoub H.E.D.",ArSphere: Arabic word vectors embedded in a polar sphere,,International Journal of Speech Technology
"Sarkar I., Siraj A.","Exploring Indian stand-up comedy through the lens of ideology, identity and gender: a discourse analysis",,Comedy Studies
"Mahmoudi B., Hajiyan Nezhad A., Tayebi S., Hadi R.",The referential theory of meaning and its criticisms: The case of fictional characters,,International Journal of Language Studies
"Qin S., Orchakova L., Liu Z.-Y., Smirnova Y., Tokareva E.","Using the Learning Management System ""Modular Object-Oriented Dynamic Learning Environment"" in Multilingual Education",,International Journal of Emerging Technologies in Learning
"Yao S., Chen Y.",Reconstructing History and Culture in Game Discourse: A Linguistic Analysis of Heroic Stories in Honor of Kings,,Games and Culture
Leis A.,Flipped Learning and Linguistic Self-Confidence,,International Journal of Computer-Assisted Language Learning and Teaching
Valencia-Méndez D.L.,Texts Written in Spanish as a Second Language by Deaf Bilingual Students: A Systemic-Functional Linguistics Analysis [Textes écrits en espagnol comme langue seconde par des étudiants sourds bilingues: Une analyse basée sur la linguistique systémique-fonctionnelle] [Textos escritos em espanhol como segunda língua por estudantes Surdos bilíngües: Uma análise baseada na linguística sistêmico-funcional] [Textos Escritos en Español Como Segunda Lengua por Estudiantes Sordos Bilingües: Un Análisis desde La lingüística Sistémico-Funcional],,Ikala
"Westbrook J., Baleeta M., Dyer C., Islei A.",Re-imagining a synchronous linguistic landscape of public and school uses of Runyoro-Rutooro and Runyankore-Rukiga in early childhood education in Western Uganda,,Journal of Multilingual and Multicultural Development
Bayliss M.,By what standard? Speech-related conduct issues in globalised sports,,International Sports Law Journal
"Rodríguez L.V., De La Rosa Yacomelo J., González R.R., Segura D.G.",Pronouns in Wayuunaiki and Spanish: A Contrastive Analysis [Pronoms en Wayuunaiki et Espagnol: Une analyse contrastive] [Pronomes em wayuunaiki e espanhol: uma análise contrastiva] [Pronombres en wayuunaiki y español: una mirada contrastiva],,Ikala
Huang C.F.,Transgression in institutional space: Heteroglossic political signs in a Hong Kong university,,Journal of Sociolinguistics
González-Montesino R.H.,An Approach to the Translation of Paremiological Units from Spanish into the Spanish Sign Language [Une approche de la traduction des unités parémiologiques de l’espagnol à la langue des signes espagnole] [Abordagem à tradução de unidades paremiológicas do espanhol para a língua gestual espanhola] [Aproximación a la traducción de unidades paremiológicas del español a la lengua de signos española],,Ikala
Bettney E.,"Examining Hegemonic and Monoglossic Language Ideologies, Policies, and Practices Within Bilingual Education in Colombia [Un examen des idéologies, politiques et pratiques linguistiques hégémoniques et monoglossiques sur l’éducation bilingue en Colombie] [Um exame das ideologias linguísticas, políticas e práticas hegemônicas e monoglóssicas no ensino bilíngue na Colômbia] [Un examen de las ideologías, políticas y prácticas lingüísticas hegemónicas y monoglósicas en la educación bilingüe en Colombia]",,Ikala
"Timpe-Laughlin V., Sydorenko T., Dombi J.",Human versus machine: investigating L2 learner output in face-to-face versus fully automated role-plays,,Computer Assisted Language Learning
"Espinas D.R., Fuchs L.S.",The effects of language instruction on math development,,Child Development Perspectives
"Rakgogo T.J., Zungu E.B.",The elevation of Sepedi from a dialect to an official standard language: Cultural and economic power and political influence matter,,Literator
"Yu S., He S., Cai Z., Lee I., Naseriparsa M., Xia F.",Exploring Public Sentiment During COVID-19: A Cross Country Analysis,,IEEE Transactions on Computational Social Systems
Lorenzo G.,Northern soul A brief guide to the linguistic diversity of Asturias,,Issues in Hispanic and Lusophone Linguistics
"Dentella V., Bertocci D., Semenza C.",Corrective Repetition of Ungrammatical Gender Agreement Stimuli: A Transcortical Sensory Aphasia Single Case Study,,Aphasiology
Raffi F.,Linguistic variation in italian neorealist cinema: A multimodal analysis of subtitling,,Cogent Arts and Humanities
Jardón N.,Pluractional perfects in Eonavian Spanish,,Issues in Hispanic and Lusophone Linguistics
"Phillips B.M., Funari C., Oliver F., Berrien J., Burris P.W., Mesa M.P.",Joint contributions of teacher’s pedagogical content knowledge and book reading to preschooler’s growth in language skill,,Reading and Writing
"Arafat N., Woodin J.",Opening up spaces for researching multilingually in higher education,,Teaching in Higher Education
"Hong H., Knollman G., Doran P.R.",Exploring alternative perspectives on millennial teachers’ beliefs of and engagement with cultural and linguistic diversity: the use of reflective practice,,Reflective Practice
Davidson L.,Using Categories to Assert Authority in Murrinhpatha-Speaking Children’s Talk,,Research on Language and Social Interaction
"Brundage S.B., Bernstein Ratner N.",Linguistic Aspects of Stuttering: Research Updates on the Language-Fluency Interface,,Topics in Language Disorders
Suazo M.E.,"The “Impassable Morass” in Translation Louisiana’s Wetlands, Chateaubriand’s Atala, and the Aesthetics of Colonial Ambivalence",,Early American Literature
"Jin J., Liu S.",An Analysis of the Linguistic Features of Popular Chinese Online Fantasy Novels,,Discourse Processes
Cao L.,“Black Pole” and “Asian Hole”: Language Ideologies in Interracial Gay Porn,,Journal of Homosexuality
"Kurum G., Erdemlİ Ö.",The Study Of Adapting Workplace Ostracism Scale To Turkish For Teachers [İş Yerİnde Dişlanma Ölçeğİnİ Öğretmenler İçİn Türkçeye Uyarlama Çalişmasi],,Milli Egitim
Shulist S.,Insecurity through diversity: a case study from the Northwest Amazon,,Journal of Multilingual and Multicultural Development
Al-Tarawneh A.,Combating the Misrepresentation of Women in Quran Translations: Translational Interventions,,Journal of International Women's Studies
"Matsumoto K., Britain D.",The vernacularity of Palauan Japanese,,International Journal of the Sociology of Language
Van Der Meulen M.S.,Leiden University Resolutions Appendici Corpus (1575-1811): Linguistics and Literature,,Research Data Journal for the Humanities and Social Sciences
Sabu U.,On translating Pakistani women poets: the ethical problematic of navigating the other,,Translator
Azuma S.,Japanese Americans and generational tension: A case of the ethnic press the Utah Nippoo during World War II,,International Journal of the Sociology of Language
"Bonilla D.F.B., Mora C.A.",From Persuasion to Acceptance of Closeness: La Projimidad as an Essential Attribute of God in Luke 10:25-37,,Open Theology
"Anisimov E.V., Bazarova T.A., Proskuryakova M.E.",“Our Patron and Protector”: The Language of Correspondents of A. D. Menshikov [«Наш патрон и заступник»: язык корреспондентов А. Д. Меншикова],,"Vestnik Novosibirskogo Gosudarstvennogo Universiteta, Seriya: Istoriya, Filologiya"
"Fiscella S., Cappelloni M.S., Maddox R.K.",Independent mechanisms of temporal and linguistic cue correspondence benefiting audiovisual speech processing,,"Attention, Perception, and Psychophysics"
"Ito A., Husband E.M.",Investigating shared and distinct mechanisms in semantic and syntactic enrichment: a priming study,,"Language, Cognition and Neuroscience"
Dževerdanović Pejović M.,Religious vs. Secular Discourse and the Change of Political Power in Montenegro,,Journal of Balkan and Near Eastern Studies
Sevinç Y.,Mindsets and family language pressure: language or anxiety transmission across generations?,,Journal of Multilingual and Multicultural Development
"Gubitosi P., Medina González P.","Language-power relationship, linguistic identity and the struggle for survival: the case of Asturian in Oviedo, Spain",,Critical Inquiry in Language Studies
"Román D., Masaquiza D., Ward K., Gonzalez-Quizhpe L.",Contextualización transformativa de Educación Intercultural Bilingüe: A migrant Indigenous Andean community in the Galapagos Islands,,Journal of Multilingual and Multicultural Development
"Connor U.M., Tan X., Zhang Y., Hume M.",An intercultural analysis of metadiscourse in international mathematical contest papers: From research to EAP practice,,Lingua
"Kanerva O., Häikiö T.",Sound Symbolic Potential of Russian Onomatopoeias: Evidence From Eye-Tracking,,Journal of Experimental Psychology: Learning Memory and Cognition
Vallauri E.L.,Distinguishing psychological Given/New from linguistic Topic/Focus makes things clearer,,Linguistik Aktuell
"Kircher R., Quirk E., Brouillard M., Ahooja A., Ballinger S., Polka L., Byers-Heinlein K.",Quebec-based Parents’ Attitudes Towards Childhood Multilingualism: Evaluative Dimensions and Potential Predictors,,Journal of Language and Social Psychology
"Tabaza D., Mustafa-Awad Z.",Within and Beyond Stereotypes of Arab Women: A Corpus-based Approach to Jordanian Women’s Portrayal in English Digital News,,Journal of International Women's Studies
"Gabriel C., Grünke J.",Unmarked use of marked syntactic structures Possessives and fronting of non-subject XPs in Bulgarian Judeo-Spanish,,Linguistik Aktuell
"Mishra M., Yan P., Schroeder R.",TikTok Politics: Tit for Tat on the India–China Cyberspace Frontier,,International Journal of Communication
"Sahayu W., Triyono S., Kurniawan E., Baginda P., Tema N.H.G.",Children’s humor development: A case of Indonesian children,,Indonesian Journal of Applied Linguistics
"Saed H., Hussein R.F., Haider A.S., Al-Salman S., Odeh I.M.",Establishing a COVID-19 lemmatized word list for journalists and ESP learners,,Indonesian Journal of Applied Linguistics
Larrivée P.,The curious case of the rare focus movement in French,,Linguistik Aktuell
"Chew K.A.B., Tennell C.",Sustaining and revitalizing Indigenous languages in Oklahoma public schools: educational sovereignty in language policy and planning,,Current Issues in Language Planning
"Bouffier M., Poncelet M., Majerus S.",The linguistic constraints of precision of verbal working memory,,Memory and Cognition
"Zhong Y., Huang C.-R., Dong S.",BODILY SENSATION AND EMBODIMENT: A CORPUS-BASED STUDY OF GUSTATORY VOCABULARY IN MANDARIN CHINESE,,Journal of Chinese Linguistics
"Izutsu M.N., Kim Y.-T., Izutsu K.",Response Cries or Response Statements? A Cross-Linguistic Analysis of Interjectional Expressions in Japanese and English,,Contrastive Pragmatics
"Gavras K., Höhne J.K., Blom A.G., Schoen H.",Innovating the collection of open-ended answers: The linguistic and content characteristics of written and oral answers to political attitude questions,,Journal of the Royal Statistical Society. Series A: Statistics in Society
"Lahlou H., Rahim H.A.",Conceptual metaphors in North African French-speaking news discourse about COVID-19,,Indonesian Journal of Applied Linguistics
"Kyle K., Eguchi M., Choe A.T., LaFlair G.",Register variation in spoken and written language use across technology-mediated and non-technology-mediated learning environments,,Language Testing
"Kraut C., Pixner S.",Language does arithmetic: linguistic differences in children’s place-value processing,,Psychological Research
Nguyen N.M.,A comparison between English demonstratives and Vietnamese demonstratives in argumentative essays,,Indonesian Journal of Applied Linguistics
"Espinar Á.L., Rodríguez A.R.",Unveiling American values using sitcoms [Las sitcoms como herramienta para el acercamiento a los valores culturales americanos],,Porta Linguarum
"Frings-Hessami V., Oliver G.","Clashes of cultures in an international aid organisation: Information cultures, languages and the use of information systems",,Journal of International Development
"Barrientos‐báez A., Gonzálvez‐vallés J.E., Barquero‐cabrero J.D., Caldevilla‐domínguez D.",Spanish Tipsters and the Millennial and Centennial Generations in the Scenario of a Pandemic,,Media and Communication
Devina,Cross-linguistic influence of propositional and lexical semantics errors in Indonesian learner texts,,Indonesian Journal of Applied Linguistics
"Yin Y., Wakslak C.J., Joshi P.D.",“I” Am More Concrete Than “We”: Linguistic Abstraction and First-Person Pronoun Usage,,Journal of Personality and Social Psychology
"Rios J.A., Soland J.","An investigation of item, examinee, and country correlates of rapid guessing in PISA",,International Journal of Testing
"Qamar M.T., Yasmeen J., Zeeshan M.A., Pathak S.",Coroneologisms and Word Formation Processes in Hindi-English Codemixed Words,,Acta Linguistica Asiatica
Pons-Sanz S.M.,Medieval multilingualism and the expression of emotion: Fear in the Gawain-poet's texts,,English Language and Linguistics
"McIntyre D., Archer D.",A corpus-based approach to mind style,,Journal of Literary Semantics
"Larkman C.S., Mellahn K., Han W., Rose M.L.",Aphasia rehabilitation when speech pathologists and clients do not share the same language: a scoping review,,Aphasiology
Jiménez M.S.,Linguistic Varieties in Homegoing: Translating the Other's Voice into Spanish,,Revista Alicantina de Estudios Ingleses
Zolyan S.T.,Yuri Lotman: On problems of language and linguistics,,Voprosy Jazykoznanija
Gentilli L.,Lope's Las Batuecas: When Hybridization Becomes a Show [LAS BATUECAS LOPESCAS: CUANDO LO HÍBRIDO SE HACE ESPECTÁCULO],,Anuario Lope de Vega
"Villers S., Oberholzer J.",Skills nomenclature: what to expect from college versus university bachelor’s degrees,,Journal of Education and Work
"Evans R., Cleghorn A.",Do student teachers see what learners see? – Avoiding instructional dissonance when designing worksheets,,South African Journal of Childhood Education
Kelly L.B.,A Translanguaging Read-Aloud,,Reading Teacher
"Sanguinetti M., Bosco C., Cassidy L., Çetinoğlu Ö., Cignarella A.T., Lynn T., Rehbein I., Ruppenhofer J., Seddah D., Zeldes A.","Treebanking user-generated content: a UD based overview of guidelines, corpora and unified recommendations",,Language Resources and Evaluation
"Serfaty J., Serrano R.",Lag effects in grammar learning: A desirable difficulties perspective,,Applied Psycholinguistics
Strange L.,Ni Saoirse go Saoirse na mBan: Gender and the Irish language in the linguistic landscape of Ireland's 2018 abortion referendum,,Language in Society
"Røe-Indregård H., Rowe M.L., Rydland V., Zambrana I.M.",Features of communication in Norwegian parent–child play interactions,,First Language
"Watson D., Krug M., Carbon C.-C.",The relationship between citations and the linguistic traits of specific academic discourse communities identified by using social network analysis,,Scientometrics
"Kumar H., Somanathan R., Vasishth M.",Language and learning in ethnically mixed communities,,Review of Development Economics
"Çetinoğlu Ö., Çöltekin Ç.","Two languages, one treebank: building a Turkish–German code-switching treebank and its challenges",,Language Resources and Evaluation
Han Y.,Creativity vs. misinterpretation in translanguaging contexts: perspectives of multilingual/bilingual addressees,,International Journal of Multilingualism
Mazzaferro G.,Commentary: The complex nexus between (im)mobility and translanguaging,,Multilingua
Kidd J.,How does experience teaching in Japanese EFL classrooms inform English native-speaker educators classroom practices? the negotiation of face in university classrooms,,Journal of Politeness Research
"Andre M., Ferreira Mello R., Nascimento A., Dueire Lins R., Gasevic D.",Toward Automatic Classification of Online Discussion Messages for Social Presence,,IEEE Transactions on Learning Technologies
Scontras G.,On the semantics of number morphology,,Linguistics and Philosophy
Hershfield J.,Declaration and Bestowal: A Love Story,,Sophia
Hernández P.F.,The construction of identity in Juan José Millás’ literary journalism: the Nevenka Fernández case [La construcción de la identidad en el periodismo literario de Juan José Millás: el caso Nevenka Fernández],,Doxa Comunicacion
Edmonds-Wathen C.,Changes in spatial frames of reference use in Iwaidja in different intergenerational contexts,,Linguistics Vanguard
Felappi G.,Pure Russellians are allowed not to believe,,Inquiry (United Kingdom)
"Ashaie S.A., Engel S., Cherney L.R.",Test–retest reliability of heart-rate variability metrics in individuals with aphasia,,Neuropsychological Rehabilitation
Rathgeb N.,How would you answer this question? Can dispositional analyses of belief account for first-person authority?,,Philosophical Explorations
Armstrong J.,Meanings without species,,Inquiry (United Kingdom)
Robbers M.,River-based and egocentric spatial orientation in Yine,,Linguistics Vanguard
"Deacon B., Miles R.",Toward better understanding Japanese university students’ self-perceived attitudes on intercultural competence: A pre-study abroad perspective,,Journal of International and Intercultural Communication
Solomon J.,Caldwell's Dravidians: Knowledge production and the representational strategies of missionary scholars in colonial South India,,Modern Asian Studies
Imyarova Z.,Balancing between majorities: the negotiable identity of Osh Dungans,,Central Asian Survey
Liu Y.,Commodification of the Chinese language: investigating language ideology in the Chinese complementary schools’ online discourse,,Current Issues in Language Planning
van Domselaar I.,"‘Plain’ legal language by courts: mere clarity, an expression of civic friendship or a masquerade of violence?",,Theory and Practice of Legislation
"McMahan H., Grenoble L.A., Petrussen A.K.",A socially anchored approach to spatial language in Kalaallisut,,Linguistics Vanguard
"Linares-Sánchez J.J., Sánchez-Cuadrado S., Morato J.",Linked data for the Greek and Latin literatura analysis [Datos enlazados para el análisis de la literatura grecolatina],,Revista Espanola de Documentacion Cientifica
"Nölle J., Spranger M.",From the field into the lab: causal approaches to the evolution of spatial language,,Linguistics Vanguard
"Trye D., Keegan T.T., Mato P., Apperley M.",Harnessing Indigenous Tweets: The Reo Māori Twitter corpus,,Language Resources and Evaluation
"Wang L., Jokikokko K.",Teacher and peer interaction in lower age novice-newcomer’s L2 learning and socialisation,,Journal of Multilingual and Multicultural Development
"Kadiri G.C., Maledo A.E., Agbo I.I.",Naming and describing in Tanure Ojaide’s The Fate of Vultures and Other Poems,,Southern African Linguistics and Applied Language Studies
"Liu Y., Zheng B.",Comparability of difficulty levels of translation tasks in CET-6 parallel test forms: evidence from product and process-based data,,Interpreter and Translator Trainer
"Lee I.-C., Lin W.-F.",Us versus Them: The Debates on the Legislation of Same-Sex Marriage (1994–2015) in Taiwan,,Journal of Homosexuality
Lan S.-W.,International students' perceptions of multilingual English-medium instruction classrooms: A case study in Taiwan,,Multilingua
"Trotzke A., Czypionka A.",Non-canonical questions from a comparative perspective: Introduction to the special collection,,Linguistics Vanguard
"Hedman C., Magnusson U.",Adjusting to linguistic diversity in a primary school through relational agency and expertise: A mother-tongue teacher team's perspective,,Multilingua
"Heim J.M., Wiltschko M.E.",Timing of belief as a key to cross-linguistic variation in common ground management,,Linguistics Vanguard
Plastina A.F.,Changing discourses of climate change: Building social-ecological resilience cross-culturally,,Text and Talk
Alderete J.,Cross-Linguistic Trends in Speech Errors: An Analysis of Sub-Lexical Errors in Cantonese,,Language and Speech
Taylor-Leech K.,"Transnational identities, being and belonging: The diverse home literacies of multilingual immigrant families",,Multilingua
Wei R.R.,Agency and responsibility in environmental reporting in the Chinese press: A corpus-based diachronic analysis,,Text and Talk
"Xu L., Naserpour A., Rezai A., Namaziandost E., Azizi Z.",Exploring EFL Learners’ Metaphorical Conceptions of Language Learning: A Multimodal Analysis,,Journal of Psycholinguistic Research
Groothuis K.A.,Non-finite Verb Movement in Romance,,Probus
"Birjandi S., Shajari R., Fouladi A., Rasulnia A.H.",The Typology of Formulaic Speech in Charand o' Parand of Dehkhoda,,Language Related Research
"Abo-elhija D., Farah R., Horowitz-Kraus T.",Stroop performance is related to reading profiles in Hebrew-speaking individuals with dyslexia and typical readers,,Dyslexia
"Siu T.-S.C., Ho S.-H.C.",Investigating Effects of Bilingualism on Syntactic Processing: Testing Structural Sensitivity Theory,,Language Learning
"Baioud G., Khuanuud C.",Linguistic purism as resistance to colonization,,Journal of Sociolinguistics
Khademi G.,Cultural Conceptualizations of “Death” in Bakhtiari Dialect of Zazomahroo,,Language Related Research
Mostafavi P.,Number Category in Language Varieties of Some Cities in Kerman Province: A Typological Study,,Language Related Research
"Abadi F., Fattahizadeh F.","Applying Historical Semantics in Analyzing the Meaning of ""Sheitan"" and ""Iblis"" in Qur'an and Criticizing the Viewpoints of Classical lexicographers",,Language Related Research
Buitendag J.,What is in a name? Does the difference between onto-theology and theo-ontology direct the way from eco-theology to theo-ecology? Specific Russian theological perspectives,,Verbum et Ecclesia
Haig A.R.,Dialectic as Ostension Towards the Transcendent: Language and Mystical Intersubjectivity in Plotinus’ Enneads,,International Journal of Platonic Tradition
"Korzhuev A.V., Bayanova A.R., Dautova S.B., Dmitrichenkova S.V., Akhmedova M.G.",The Aristotelian law of the excluded middle and the language “Pitfalls” of modern scientific pedagogical dialogue,,XLinguae
Marchesin M.,"Wittgenstein's Account of Music and its Comparison to Language: Understanding, Experience and Rules",,Philosophical Investigations
"Holm L., Ahrenkiel A.",Children’s language play as collaborative improvisations–rethinking paths to literacy,,Journal of Early Childhood Literacy
Ogunnaike A.,"Damned If You Do, Damned If You Don't: The Paradox of Africana Religions' Legal Status",,Journal of Africana Religions
"Hryvko A.V., Zhuk Y.O.",The Experimental Study of the Effect of Functional-Variational Factors on the Results of Linguistic Testing,,Journal of Curriculum and Teaching
"Layne A., Miles E.",Racial identity and language: exploring the Afro-Brazilian experience through the lens of DuBois’ double consciousness theory,,Journal of Multilingual and Multicultural Development
"Lum J., Palmer B., Schlossberg J., Gaby A.",Diversity in representing space within and between language communities,,Linguistics Vanguard
Cerqueglini L.,Cross-generational differences in linguistic and cognitive spatial frames of reference in Negev Arabic,,Linguistics Vanguard
Lin Y.-T.,"The influence of language, culture, and environment on the use of spatial referencing in a multilingual context: Taiwan as a test case",,Linguistics Vanguard
"Pappas L., Holton G.",A quantitative approach to sociotopography in Austronesian languages,,Linguistics Vanguard
Tkachman O.,Conflation of spatial reference frames in deaf community sign languages,,Linguistics Vanguard
"Byrne S., Marcet E.",La lluita continua: socio-political debate and the linguistic landscape of a Catalan city,,Social Semiotics
Tenbrink T.,"Linguistic spatial reference systems across domains: How people talk about space in sailing, dancing, and other specialist areas",,Linguistics Vanguard
"Foryś-Nogala M., Krajewski G., Haman E.",The interface issue in second language acquisition research: An interdisciplinary perspective,,Lingua
"Xiao W., Li L., Liu J.",To Move or Not to Move: An Entropy-based Approach to the Informativeness of Research Article Abstracts across Disciplines,,Journal of Quantitative Linguistics
"Garrido M.V., Farias A.R., Horchak O.V., Semin G.R.",The spatial grounding of politics,,Psychological Research
"Bohnemeyer J., Danziger E., Lum J., Alshehri A., Benedicto E., Blythe J., Cerqueglini L., Donelson K., Eggleston A., Gaby A., Lin Y.-T., Moore R., Nikitina T., Stoakes H., Yulbarangyang Balna M.",Reference frames in language and cognition: cross-population mismatches,,Linguistics Vanguard
Nagaya N.,"Directionals, topography, and cultural construals of landscape in Lamaholot",,Linguistics Vanguard
"From T., Zilliacus H., Holm G., Wallinheimo K.",Students’ Orientations Towards Multilingualism and Social Justice in a Swedish-medium University Degree Program in Educational Sciences in Finland,,"Journal of Language, Identity and Education"
"Rafi A.S.M., Morgan A.-M.",A pedagogical perspective on the connection between translingual practices and transcultural dispositions in an Anthropology classroom in Bangladesh,,International Journal of Multilingualism
"Egilsson B.R., Vandenbroeck M.",Narratives of Maternal Action and Cultural Re-evaluation in Relation to the Transition to School,,Scandinavian Journal of Educational Research
"Keary A., Reupert A., Kaukko M., Wilkinson J.",Education and an Ethics of Care when working with Refugee Families during COVID-19,,Early Years
"Roy D., Putatunda T.",The Paradox of Free Will: Scrutinizing (Pseudo) Individualization Through Indian Television Commercials,,Human Arenas
"Grey A., Severin A.A.","Building towards best practice for governments’ public communications in languages other than English: a case study of New South Wales, Australia",,Griffith Law Review
"Gómez P., del Castillo H., Monge C.",Improving motor skills in early education: using smartphones on the Brazilian–Bolivian border,,Physical Education and Sport Pedagogy
"Potvin P., Ayotte-Beaudet J.-P., Hasni A., Smith J., Giamellaro M., Lin T.-J., Tsai C.-C.",Development and Validation of a Questionnaire to Assess Situational Interest in a Science Period: a Study in Three Cultural/Linguistic Contexts,,Research in Science Education
Kumar A.,"Why the Aryans Still Matter? History, Historiography and Politics",,Contemporary Voice of Dalit
Sander T.,Taxonomizing Non-at-Issue Contents,,Grazer Philosophische Studien
"Rafi A.S.M., Morgan A.-M.",Translanguaging as a Transformative Act in a Reading Classroom: Perspectives from a Bangladeshi Private University,,"Journal of Language, Identity and Education"
"Kirby A.L., Dahbi M., Surrain S., Rowe M.L., Luk G.",Music Uses in Preschool Classrooms in the U.S.: A Multiple-Methods Study,,Early Childhood Education Journal
Anctil P.,Yiddish Writers in the Americas After the 1905 Russian Insurrection,,Contemporary Jewry
Veloudis I.,The natural history of negation phenomena,,Lingua
Bistué A.A.,LANGUAGE CONTACT IN NORTHERN CATALONIA. AN APPROACH TO THE ATLAS LINGÜÍSTICO DE LA PENÍNSULA IBÉRICA (ALPI) [EL CONTACTO DE LENGUAS EN LA CATALUÑA DEL NORTE. UNA APROXIMACIÓN A TRAVÉS DEL ATLAS LINGÜÍSTICO DE LA PENÍNSULA IBÉRICA (ALPI)1],,Dialectologia
"Eguibar P.G., Nieves Sanchez Gonzalez De Herrero M.","VARIATION AND USE OF DIPHTHONGS IN MEDIEVAL DOCUMENTS FROM SAN ANDRÉS DE VEGA DE ESPINAREDA MONASTERY (LEÓN, SPAIN) (13TH CENTURY) [VARIACIÓN Y USO DE LOS DIPTONGOS EN LA DOCUMENTACIÓN MEDIEVAL DEL MONASTERIO DE SAN ANDRÉS DE VEGA DE ESPINAREDA (LEÓN) (SIGLO XIII)1]",,Dialectologia
Yaghoobi C.,Multiple Consciousness and Transnationalism in Iranian Armenian Cultural Productions,,Middle East Critique
"Zuraiq W., Omari M.A., Shboul S.A.",PRONUNCIATION AND LINGUISTIC BIAS IN INTERVIEWING ARABIC INSTRUCTORS,,Dialectologia
"Yang C.-M., Hu Y.-F., Fan J.-B., Dong X., Jeschull L.",An experimental study of Mandarin-speaking children's acquisition of recursion under a formal definition/classification system for recursion,,Lingua
"Zhao N., Chen X., Cai Z.G.",Planning ahead: Interpreters predict source language in consecutive interpreting,,Bilingualism
Tafani L.,Enhancing the quality of legislation: the Italian experience,,Theory and Practice of Legislation
Kral T.,‘Eventually we’ll all become Anglophones’: a narrative inquiry into language-in-education policy in Rwanda,,"Globalisation, Societies and Education"
"Najarian J., Nee K.",Fat beyond the fetish: toward a theory of fat-forward sexuality,,Fat Studies
Codina Solà N.,Translational Authorship and Multilingual (Re)writing in Uljana Wolf and Sophie Seita's Subsisters: Selected Poems (2017),,Textual Practice
Avcu R.,Pre-service middle school mathematics teachers’ personal concept definitions of special quadrilaterals,,Mathematics Education Research Journal
"Rajeg I.M., Rajeg G.P.W., Arka I.W.",Corpus linguistic and experimental studies on the meaning-preserving hypothesis in Indonesian voice alternations,,Linguistics Vanguard
"Subtirelu N.C., Lindemann S., Acheson K., Campbell M.-A.",Sharing communicative responsibility: Training US students in cooperative strategies for communicating across linguistic difference,,Multilingua
Duman Çaklr I.,Negotiation of resources in everyday activities of a multilingual Berlin street market: A linguistic ethnography approach,,Multilingua
"MacKenzie A., Engman M., McGurk O.",Overt and symbolic linguistic violence: plantation ideology and language reclamation in Northern Ireland,,Teaching in Higher Education
Sanei T.,"Globalization, linguistic markets, and nuanced identity performances: Farsi-English code-switching in Iran",,International Multilingual Research Journal
"Quint N., Allassonnière-Tang M.",Inferring case paradigms in Koalib with computational classifiers,,Corpus Linguistics and Linguistic Theory
Kim S.,‘Ehh? Order through kiosk? What’s that?’ Public attitudes towards the excessive Anglicisation of commerce in South Korea,,Journal of Multilingual and Multicultural Development
Zou Y.,“You Can Choose”: Didacticism and the Struggle for Power in Chinese Parent/Child Dyad Book Choices,,Children's Literature in Education
Wiesing L.,Showing cause and effect: Faces and photographs [Montrer des causes et des effets: Visages et photographies],,Archives de Philosophie
"Czepil M., Karpenko O.",National awareness: the evolution of the concept in the Ukrainian pedagogy of Galicia (1848–1918),,History of Education
"Nikula T., Skinnari K., Mård-Miettinen K.",Diversity in CLIL as experienced by Finnish CLIL teachers and students: matters of equality and equity,,International Journal of Bilingual Education and Bilingualism
"Kidd E., Garcia R.",How diverse is child language acquisition research?,,First Language
"Alazawi M., Alrawi B.",Denotation of Narrative Features in Television Advertising (A Semiotic Approach to Mr. President's Declaration),,Dirasat: Human and Social Sciences
Pennycook A.,Critical applied linguistics in the 2020s,,Critical Inquiry in Language Studies
Greene S.A.,"You are what you read: media, identity, and community in the 2020 Belarusian uprising",,Post-Soviet Affairs
Trumbull R.,"From Life to Survival: Derrida, Freud, and the Future of Deconstruction",,"From Life to Survival: Derrida, Freud, and the Future of Deconstruction"
